,date,code,open,high,low,close,preclose,volume,amount,pctChg
24,2016-02-05,sh.000300,2982.0560,2988.3600,2962.8470,2963.7890,2984.7600,7685080800,77443222334.0000,-0.702600
25,2016-02-15,sh.000300,2888.4280,2961.4930,2886.0180,2946.7070,2963.7890,7291943400,71285049141.0000,-0.576400
26,2016-02-16,sh.000300,2962.1870,3042.0890,2962.1870,3037.0350,2946.7070,11257964300,112300492317.0000,3.065400
27,2016-02-17,sh.000300,3034.0900,3065.7840,3027.0460,3063.3200,3037.0350,12829160700,122279340234.0000,0.865500
28,2016-02-18,sh.000300,3079.5270,3093.5130,3049.8410,3053.6980,3063.3200,12440146400,122618612161.0000,-0.314100
29,2016-02-19,sh.000300,3047.9420,3065.9680,3032.6340,3051.5850,3053.6990,8733801200,90849341804.0000,-0.069200
30,2016-02-22,sh.000300,3083.9330,3128.2070,3071.3290,3118.8670,3051.5850,14094696800,141684080627.0000,2.204900
31,2016-02-23,sh.000300,3117.2030,3119.2210,3061.4290,3089.3630,3118.8680,11256739100,117476469063.0000,-0.946000
32,2016-02-24,sh.000300,3077.6060,3109.5450,3055.2510,3109.5450,3089.3630,11178265000,112918607549.0000,0.653300
33,2016-02-25,sh.000300,3104.4100,3104.4360,2905.4570,2918.7500,3109.5450,15782975200,153493008194.0000,-6.135800
34,2016-02-26,sh.000300,2942.0950,2964.3850,2902.9480,2948.0310,2918.7500,10694972900,102531571946.0000,1.003200
35,2016-02-29,sh.000300,2939.5800,2939.8750,2821.2150,2877.4670,2948.0310,12934102000,118440829598.0000,-2.393600
36,2016-03-01,sh.000300,2881.3350,2950.4360,2863.3230,2930.6940,2877.4670,11604591800,110491037808.0000,1.849800
37,2016-03-02,sh.000300,2933.9210,3054.7240,2933.1160,3051.3330,2930.6940,17597234700,164025161471.0000,4.116400
38,2016-03-03,sh.000300,3050.3890,3078.4440,3040.2460,3058.4220,3051.3330,17310574400,165509087742.0000,0.232300
39,2016-03-04,sh.000300,3047.5370,3101.6560,3032.4240,3093.8890,3058.4220,21917253400,205520475543.0000,1.159700
40,2016-03-07,sh.000300,3109.0000,3130.9030,3083.5840,3104.8400,3093.8900,13246203700,127790344488.0000,0.353900
41,2016-03-08,sh.000300,3100.1490,3109.2500,3001.8290,3107.6730,3104.8400,13623574200,128758488144.0000,0.091200
42,2016-03-09,sh.000300,3045.9240,3072.9160,3020.1340,3071.9070,3107.6730,11146624500,106298652785.0000,-1.150900
43,2016-03-10,sh.000300,3056.2100,3074.1600,3012.6910,3013.1460,3071.9070,7607219700,78180468559.0000,-1.912900
44,2016-03-11,sh.000300,2990.2130,3026.4370,2982.1720,3018.2840,3013.1460,7333356400,74367296548.0000,0.170500
45,2016-03-14,sh.000300,3039.5690,3106.8000,3034.0000,3065.6900,3018.2840,11710865500,123539094703.0000,1.570600
46,2016-03-15,sh.000300,3061.3430,3077.0850,3028.5780,3074.7800,3065.6900,9831194100,101302845698.0000,0.296500
47,2016-03-16,sh.000300,3068.8660,3100.3520,3064.5210,3090.0330,3074.7800,12473644800,126128854001.0000,0.496100
48,2016-03-17,sh.000300,3096.8080,3147.8410,3077.5720,3124.2040,3090.0330,12166177700,136603715775.0000,1.105900
49,2016-03-18,sh.000300,3136.2230,3197.6680,3130.1020,3171.9630,3124.2040,19730256400,210017810346.0000,1.528700
50,2016-03-21,sh.000300,3203.2930,3267.7750,3198.3610,3249.4370,3171.9630,23326946400,256836636273.0000,2.442500
51,2016-03-22,sh.000300,3231.6150,3249.6770,3218.7280,3225.7900,3249.4370,16102089700,194211982989.0000,-0.727700
52,2016-03-23,sh.000300,3217.7290,3242.2470,3202.9760,3236.0920,3225.7900,12567928600,155567074583.0000,0.319400
53,2016-03-24,sh.000300,3211.4960,3221.9060,3181.8130,3181.8510,3236.0920,13313112200,162436036415.0000,-1.676100
54,2016-03-25,sh.000300,3176.8100,3204.4420,3174.3180,3197.8170,3181.8510,9739533000,115195604431.0000,0.501800
55,2016-03-28,sh.000300,3206.9530,3229.6240,3161.8780,3169.7280,3197.8170,10344193300,123844044128.0000,-0.878400
56,2016-03-29,sh.000300,3171.3140,3178.0750,3122.7600,3135.4100,3169.7280,9729474700,113844280553.0000,-1.082700
57,2016-03-30,sh.000300,3161.2890,3216.6760,3161.2890,3216.2750,3135.4100,11780251200,140721774451.0000,2.579100
58,2016-03-31,sh.000300,3229.1990,3241.9270,3208.6650,3218.0880,3216.2750,12155207400,147267617416.0000,0.056400
59,2016-04-01,sh.000300,3213.6740,3222.6120,3165.8550,3221.8950,3218.0880,11812213900,127050098456.0000,0.118300
60,2016-04-05,sh.000300,3211.3050,3271.9300,3205.2070,3264.4860,3221.8950,14604777200,159296543667.0000,1.321900
61,2016-04-06,sh.000300,3250.5210,3267.6400,3236.1960,3257.5280,3264.4860,12019630500,137206268587.0000,-0.213100
62,2016-04-07,sh.000300,3266.2880,3270.8200,3208.6440,3209.2900,3257.5280,11240946700,128273067720.0000,-1.480800
63,2016-04-08,sh.000300,3189.8460,3197.7740,3163.3050,3185.7260,3209.2900,10100562500,113920716519.0000,-0.734200
64,2016-04-11,sh.000300,3213.5070,3251.5720,3213.5070,3230.0960,3185.7260,12521270900,142759491340.0000,1.392800
65,2016-04-12,sh.000300,3227.3670,3232.2640,3198.9030,3218.4500,3230.0960,9286943700,99086557951.0000,-0.360500
66,2016-04-13,sh.000300,3237.8570,3296.5230,3237.8570,3261.3830,3218.4500,19561386600,200159601290.0000,1.334000
67,2016-04-14,sh.000300,3277.0980,3286.0720,3252.0500,3275.8320,3261.3830,11315732700,117989443450.0000,0.443000
68,2016-04-15,sh.000300,3279.8570,3282.9850,3261.7300,3272.2050,3275.8320,9980752900,107963982334.0000,-0.110700
69,2016-04-18,sh.000300,3252.6710,3252.6710,3221.6620,3228.4530,3272.2050,9709006900,103956150095.0000,-1.337100
70,2016-04-19,sh.000300,3243.9710,3250.7250,3221.5770,3238.3030,3228.4530,8087144000,90976236261.0000,0.305100
71,2016-04-20,sh.000300,3244.1420,3248.4220,3107.3690,3181.0260,3238.3030,16220785800,172324694469.0000,-1.768700
72,2016-04-21,sh.000300,3160.7960,3198.5570,3150.9390,3160.6030,3181.0260,10475265100,110324379038.0000,-0.642000
73,2016-04-22,sh.000300,3142.5610,3175.3800,3137.9930,3174.9010,3160.6030,7707849200,82442921903.0000,0.452400
74,2016-04-25,sh.000300,3164.7380,3172.2690,3137.1130,3162.0330,3174.9010,6751935100,74734848036.0000,-0.405300
75,2016-04-26,sh.000300,3159.7710,3181.0950,3150.4040,3179.1600,3162.0330,5902073400,68871554173.0000,0.541700
76,2016-04-27,sh.000300,3181.9300,3188.8260,3162.6910,3165.9160,3179.1610,6000414700,70620405995.0000,-0.416600
77,2016-04-28,sh.000300,3169.3330,3174.7660,3135.6430,3160.5810,3165.9160,6987066000,78876767222.0000,-0.168500
78,2016-04-29,sh.000300,3153.5370,3171.2890,3149.3960,3156.7450,3160.5810,5802977600,70807704222.0000,-0.121400
79,2016-05-03,sh.000300,3159.8230,3218.4850,3151.4050,3213.5400,3156.7450,9816483500,115733867591.0000,1.799200
80,2016-05-04,sh.000300,3203.4650,3222.8820,3198.2920,3209.4610,3213.5400,9086240800,97797134813.0000,-0.126900
81,2016-05-05,sh.000300,3204.1690,3217.2820,3196.5660,3213.9200,3209.4610,7473368100,83946496908.0000,0.138900
82,2016-05-06,sh.000300,3213.1360,3216.8930,3130.1470,3130.3540,3213.9200,10868024000,119265216104.0000,-2.600100
83,2016-05-09,sh.000300,3115.4300,3115.4300,3055.0060,3065.6150,3130.3540,9923047700,100409213488.0000,-2.068100
84,2016-05-10,sh.000300,3055.2120,3084.7250,3055.1830,3069.1120,3065.6150,6884993500,70650764147.0000,0.114100
85,2016-05-11,sh.000300,3080.6360,3102.8770,3063.0880,3082.8090,3069.1120,8179425800,87323408342.0000,0.446300
86,2016-05-12,sh.000300,3059.3830,3095.3490,3035.0230,3090.1370,3082.8090,7876572600,81418792606.0000,0.237700
87,2016-05-13,sh.000300,3081.6800,3103.0950,3064.6910,3074.9350,3090.1370,6262975500,65850995649.0000,-0.491900
88,2016-05-16,sh.000300,3064.5260,3095.5550,3053.6620,3095.3090,3074.9350,5946185600,64405200020.0000,0.662600
89,2016-05-17,sh.000300,3095.5230,3105.2010,3073.4590,3086.0250,3095.3090,6527812500,75389385458.0000,-0.299900
